datetime,temperature,feels_like,humidity,pressure,wind_speed,wind_deg,weather_main,weather_description
2024-12-14 12:00:00,270.68,266.92,57,1047,2.76,40,Clear,clear sky
2024-12-14 15:00:00,271.36,267.46,49,1047,3.04,37,Clear,clear sky
2024-12-14 18:00:00,272.69,270.22,39,1046,1.95,14,Clear,clear sky
2024-12-14 21:00:00,274.03,271.89,28,1046,1.86,2,Clear,clear sky
2024-12-15 00:00:00,273.52,270.61,32,1046,2.46,37,Clear,clear sky
2024-12-15 03:00:00,273.22,269.37,42,1046,3.43,37,Clouds,few clouds
2024-12-15 06:00:00,273.04,269.73,44,1044,2.77,40,Clouds,broken clouds
2024-12-15 09:00:00,273.16,269.79,47,1044,2.86,44,Clouds,overcast clouds
2024-12-15 12:00:00,273.35,269.74,51,1044,3.17,66,Clouds,overcast clouds
2024-12-15 15:00:00,274.35,270.58,53,1044,3.65,64,Clouds,overcast clouds
2024-12-15 18:00:00,275.46,272.04,55,1042,3.5,76,Clouds,overcast clouds
2024-12-15 21:00:00,276.18,273.13,59,1040,3.21,83,Clouds,overcast clouds
2024-12-16 00:00:00,275.95,273.0,68,1039,3.02,82,Clouds,overcast clouds
2024-12-16 03:00:00,276.76,274.85,73,1038,2.05,75,Clouds,overcast clouds
2024-12-16 06:00:00,277.91,276.08,82,1035,2.16,116,Rain,light rain
2024-12-16 09:00:00,278.03,278.03,93,1034,0.92,264,Rain,light rain
2024-12-16 12:00:00,277.77,276.87,95,1033,1.35,52,Rain,light rain
2024-12-16 15:00:00,278.74,276.98,97,1033,2.24,98,Rain,light rain
2024-12-16 18:00:00,279.46,278.16,99,1030,1.88,100,Rain,light rain
2024-12-16 21:00:00,280.79,278.93,99,1028,2.84,143,Rain,light rain
2024-12-17 00:00:00,282.31,279.73,97,1027,4.9,143,Rain,light rain
2024-12-17 03:00:00,283.18,282.69,94,1025,5.64,171,Rain,light rain
2024-12-17 06:00:00,282.86,280.47,97,1022,4.75,185,Rain,light rain
2024-12-17 09:00:00,283.94,283.48,92,1019,6.46,187,Rain,light rain
2024-12-17 12:00:00,284.87,284.47,91,1018,6.67,224,Rain,light rain
2024-12-17 15:00:00,285.21,284.77,88,1019,5.41,232,Rain,light rain
2024-12-17 18:00:00,287.0,286.03,61,1019,5.91,262,Clouds,broken clouds
2024-12-17 21:00:00,283.97,282.73,62,1021,6.18,289,Clear,clear sky
2024-12-18 00:00:00,281.22,278.39,62,1025,4.85,286,Clear,clear sky
2024-12-18 03:00:00,280.0,277.32,64,1026,3.92,285,Clouds,few clouds
2024-12-18 06:00:00,278.91,276.07,68,1027,3.78,275,Clouds,scattered clouds
2024-12-18 09:00:00,278.17,275.6,70,1027,3.11,289,Clear,clear sky
2024-12-18 12:00:00,277.5,276.25,70,1028,1.58,284,Clear,clear sky
2024-12-18 15:00:00,279.28,278.12,60,1028,1.73,241,Clear,clear sky
2024-12-18 18:00:00,281.59,279.79,52,1025,3.0,199,Clouds,few clouds
2024-12-18 21:00:00,282.16,280.3,56,1023,3.3,173,Clouds,few clouds
2024-12-19 00:00:00,281.51,278.75,67,1020,4.86,180,Clouds,few clouds
2024-12-19 03:00:00,282.02,279.83,85,1017,3.86,197,Clouds,broken clouds
2024-12-19 06:00:00,282.9,280.85,96,1014,3.99,202,Clouds,overcast clouds
2024-12-19 09:00:00,283.9,283.49,94,1011,4.48,219,Clouds,overcast clouds
